date,nav
2016-05-31,0.995
2016-06-01,0.9899822231200027
2016-06-02,0.9948020999750294
2016-06-03,0.9956590466023356
2016-06-06,0.9936841185216277
2016-06-07,0.9958716987307712
2016-06-08,0.998986751379406
2016-06-09,0.9930000454975554
2016-06-10,0.9866678514616236
2016-06-13,0.9829683474341844
2016-06-14,0.9855726614608519
2016-06-15,0.994979172393777
2016-06-16,0.9880287958789291
2016-06-17,0.9891271616596014
2016-06-20,0.9909363839017982
2016-06-21,0.9941668137496262
2016-06-22,0.9949565302962963
2016-06-23,0.9938675066848119
2016-06-24,0.9830421666305034
2016-06-27,0.9901471484973421
2016-06-28,0.993635884115742
2016-06-29,1.0069337517751487
2016-06-30,1.0133876966281339
2016-07-01,1.023155052258904
2016-07-04,1.025687573299043
2016-07-05,1.0222014640848145
2016-07-07,1.020470643889444
2016-07-08,1.0238077591630468
2016-07-11,1.0362388470891266
2016-07-12,1.0367042156838733
2016-07-13,1.032847894020881
2016-07-14,1.035620806203981
2016-07-15,1.0342980874534924
2016-07-18,1.0332313144285343
2016-07-19,1.0344265208676162
2016-07-20,1.0453423248789013
2016-07-21,1.0525411452271214
2016-07-22,1.0552125412576283
2016-07-25,1.0675792165676135
2016-07-26,1.065861285101769
2016-07-27,1.0659748705172443
2016-07-28,1.070993462023869
2016-07-29,1.0722864794377522
2016-08-01,1.072682582822533
2016-08-02,1.0708198727892795
2016-08-03,1.057999251592971
2016-08-04,1.0617076976928708
2016-08-05,1.080413768074008
2016-08-08,1.0870224809147977
2016-08-09,1.0824376178875865
2016-08-10,1.0623243561690536
2016-08-11,1.0655339316985994
2016-08-12,1.0669221462937755
2016-08-16,1.0664103898255666
2016-08-17,1.0746261194953337
2016-08-18,1.0833127290069628
2016-08-19,1.088060537260337
2016-08-22,1.083054306478201
2016-08-23,1.076167771567235
2016-08-24,1.0784858650531748
2016-08-25,1.0746415824401987
2016-08-26,1.0747415509826355
2016-08-29,1.076707433351869
2016-08-30,1.086108039831763
2016-08-31,1.0924095147989825
2016-09-01,1.0914162542576167
2016-09-02,1.0934688215398105
2016-09-06,1.1069379194608844
2016-09-07,1.1045376557675117
2016-09-08,1.108741424441805
2016-09-09,1.1022838572062827
2016-09-12,1.080337300824096
2016-09-14,1.0821520023664173
2016-09-15,1.0776725260961633
2016-09-16,1.0799472527216583
2016-09-19,1.0854210253784873
2016-09-20,1.0791609255314403
2016-09-21,1.0757985404163717
2016-09-22,1.0881231971446372
2016-09-23,1.0861287368296728
2016-09-26,1.0779637425653894
2016-09-27,1.0804058506717005
2016-09-28,1.0896041664180953
2016-09-29,1.0576636238873118
